symbol,sp,moodys,source,retrieved,verified
AAPL,AA+,Aaa,verified: S&P AA+ affirmed 2025-05-19 (cbonds.com/news/3404097); Moody's upgraded to Aaa per press,2026-07-26,yes
MSFT,AAA,,verified: S&P reaffirmed Jul 2026; press: 247wallst.com/investing/2026/05/13/the-2-us-companies-with-a-better-credit-rating-than-uncle-sam-belong-in-every-retirement-portfolio/,2026-07-26,yes
JNJ,AAA,,verified: S&P AAA affirmed Apr 2026 (negative outlook); spglobal.com/ratings id/3359646,2026-07-26,yes
GOOGL,AA+,,compiled from public reporting as of mid-2026; unverified (seeded from config/universe.yaml),2026-07-26,no
AMZN,AA,,compiled from public reporting as of mid-2026; unverified (seeded from config/universe.yaml),2026-07-26,no
META,AA-,,compiled from public reporting as of mid-2026; unverified (seeded from config/universe.yaml),2026-07-26,no
NVDA,AA,,verified: S&P upgraded AA Jun 2026: investing.com/news/stock-market-news/sp-global-ratings-upgrades-nvidia-to-aa-on-explosive-artificial-intelligence-dema-4738414,2026-07-26,yes
CRM,A+,,compiled from public reporting as of mid-2026; unverified (seeded from config/universe.yaml),2026-07-26,no
AVGO,BBB+,,compiled from public reporting as of mid-2026; unverified (seeded from config/universe.yaml),2026-07-26,no
AMD,A-,,compiled from public reporting as of mid-2026; unverified (seeded from config/universe.yaml),2026-07-26,no
MU,BBB-,,compiled from public reporting as of mid-2026; unverified (seeded from config/universe.yaml),2026-07-26,no
INTC,BBB,,verified: S&P BBB Dec 2024 (spglobal id/3298874); Fitch BBB Aug 2025 (cnbc.com/2025/08/05),2026-07-26,yes
IBM,A-,,compiled from public reporting as of mid-2026; unverified (seeded from config/universe.yaml),2026-07-26,no
ORCL,BBB-,,verified: S&P downgraded BBB- 2026-07-09: heise.de/en/news/S-P-downgrades-Oracle-to-BBB-only-one-notch-above-junk-level-11363472.html,2026-07-26,yes
INTU,A-,,compiled from public reporting as of mid-2026; unverified (seeded from config/universe.yaml),2026-07-26,no
DELL,BBB,,compiled from public reporting as of mid-2026; unverified (seeded from config/universe.yaml),2026-07-26,no
MCD,BBB+,,compiled from public reporting as of mid-2026; unverified (seeded from config/universe.yaml),2026-07-26,no
SBUX,BBB,,compiled from public reporting as of mid-2026; unverified (seeded from config/universe.yaml),2026-07-26,no
HD,A,,compiled from public reporting as of mid-2026; unverified (seeded from config/universe.yaml),2026-07-26,no
LOW,BBB+,,compiled from public reporting as of mid-2026; unverified (seeded from config/universe.yaml),2026-07-26,no
BA,BBB-,,compiled from public reporting as of mid-2026; unverified (seeded from config/universe.yaml),2026-07-26,no
PM,A-,,compiled from public reporting as of mid-2026; unverified (seeded from config/universe.yaml),2026-07-26,no
YUM,BB+,,compiled from public reporting as of mid-2026; unverified (seeded from config/universe.yaml),2026-07-26,no
AZO,BBB,,compiled from public reporting as of mid-2026; unverified (seeded from config/universe.yaml),2026-07-26,no
JPM,A-,,compiled from public reporting as of mid-2026; unverified (seeded from config/universe.yaml),2026-07-26,no
BAC,A-,,compiled from public reporting as of mid-2026; unverified (seeded from config/universe.yaml),2026-07-26,no
WFC,BBB+,,compiled from public reporting as of mid-2026; unverified (seeded from config/universe.yaml),2026-07-26,no
C,BBB+,,compiled from public reporting as of mid-2026; unverified (seeded from config/universe.yaml),2026-07-26,no
GS,BBB+,,compiled from public reporting as of mid-2026; unverified (seeded from config/universe.yaml),2026-07-26,no
MS,A-,,compiled from public reporting as of mid-2026; unverified (seeded from config/universe.yaml),2026-07-26,no
PNC,A,A2,verified: recorded in ADR 0003 at gate implementation (senior unsecured A/A2),2026-07-26,yes
SCHW,A,,compiled from public reporting as of mid-2026; unverified (seeded from config/universe.yaml),2026-07-26,no
COF,BBB,,compiled from public reporting as of mid-2026; unverified (seeded from config/universe.yaml),2026-07-26,no
ALLY,BBB-,,compiled from public reporting as of mid-2026; unverified (seeded from config/universe.yaml),2026-07-26,no
KEY,BBB,,compiled from public reporting as of mid-2026; unverified (seeded from config/universe.yaml),2026-07-26,no
AXP,BBB+,,compiled from public reporting as of mid-2026; unverified (seeded from config/universe.yaml),2026-07-26,no
V,AA-,,compiled from public reporting as of mid-2026; unverified (seeded from config/universe.yaml),2026-07-26,no
MA,A+,,compiled from public reporting as of mid-2026; unverified (seeded from config/universe.yaml),2026-07-26,no
PYPL,A-,,compiled from public reporting as of mid-2026; unverified (seeded from config/universe.yaml),2026-07-26,no
BLK,AA-,,compiled from public reporting as of mid-2026; unverified (seeded from config/universe.yaml),2026-07-26,no
BX,A+,,compiled from public reporting as of mid-2026; unverified (seeded from config/universe.yaml),2026-07-26,no
SPGI,A-,,compiled from public reporting as of mid-2026; unverified (seeded from config/universe.yaml),2026-07-26,no
BRK-B,AA,,compiled from public reporting as of mid-2026; unverified (seeded from config/universe.yaml),2026-07-26,no
AIG,BBB+,,compiled from public reporting as of mid-2026; unverified (seeded from config/universe.yaml),2026-07-26,no
