symbol,model_letter,sp,notch_error,determination,verified
AAPL,AAA,AA+,2,PINNED_AT_SCALE_TOP,yes
MSFT,AAA-,AAA,-1,PINNED_AT_FLOOR,yes
JNJ,AAA,AAA,0,PINNED_AT_SCALE_TOP,yes
GOOGL,AAA-,AA+,1,PINNED_AT_FLOOR,no
AMZN,AAA-,AA,2,PINNED_AT_FLOOR,no
META,AAA-,AA-,3,SCALE_RESOLVED,no
NVDA,AAA,AA,3,PINNED_AT_SCALE_TOP,yes
AVGO,AAA,BBB+,8,PINNED_AT_SCALE_TOP,no
AMD,AAA-,A-,6,PINNED_AT_FLOOR,no
MU,AA+,BBB-,8,SCALE_RESOLVED,no
INTC,BBB+,BBB,1,SCALE_RESOLVED,yes
IBM,BBB,A-,-2,SCALE_RESOLVED,no
ORCL,BB,BBB-,-2,SCALE_RESOLVED,yes
DELL,A-,BBB,2,SCALE_RESOLVED,no
MCD,AAA,BBB+,8,PINNED_AT_SCALE_TOP,no
SBUX,AAA-,BBB,8,PINNED_AT_FLOOR,no
HD,AAA-,A,5,PINNED_AT_FLOOR,no
LOW,AAA-,BBB+,7,PINNED_AT_FLOOR,no
PM,AA+,A-,5,SCALE_RESOLVED,no
YUM,AAA-,BB+,10,PINNED_AT_FLOOR,no
AZO,AAA-,BBB,8,PINNED_AT_FLOOR,no
V,AAA,AA-,4,PINNED_AT_SCALE_TOP,no
MA,AAA,A+,5,PINNED_AT_SCALE_TOP,no
BLK,AAA-,AA-,3,PINNED_AT_FLOOR,no
BX,AAA-,A+,4,PINNED_AT_FLOOR,no
SPGI,AAA-,A-,6,PINNED_AT_FLOOR,no
NEE,AAA-,A-,6,PINNED_AT_FLOOR,no
DUK,AAA,BBB+,8,PINNED_AT_SCALE_TOP,no
SO,AAA-,A-,6,PINNED_AT_FLOOR,no
D,AAA-,BBB+,7,SCALE_RESOLVED,no
XEL,AAA-,BBB+,7,SCALE_RESOLVED,no
PCG,AA-,BB+,7,SCALE_RESOLVED,no
VST,BBB+,BB+,3,SCALE_RESOLVED,no
XOM,AAA-,AA-,3,PINNED_AT_FLOOR,yes
CVX,AAA-,AA-,3,PINNED_AT_FLOOR,no
COP,AAA-,A-,6,PINNED_AT_FLOOR,no
SLB,AAA-,A,5,PINNED_AT_FLOOR,no
KMI,AAA,BBB,9,PINNED_AT_SCALE_TOP,no
APA,A+,BB+,6,SCALE_RESOLVED,no
LLY,AAA,A+,5,PINNED_AT_SCALE_TOP,no
MRK,AAA-,A+,4,PINNED_AT_FLOOR,no
ABBV,AAA-,BBB+,7,PINNED_AT_FLOOR,no
AMGN,AAA-,BBB+,7,SCALE_RESOLVED,no
CVS,AA,BBB,6,SCALE_RESOLVED,no
HCA,AA-,BBB-,6,SCALE_RESOLVED,no
THC,BBB+,B+,6,SCALE_RESOLVED,no
KO,AAA,A+,5,PINNED_AT_SCALE_TOP,no
WMT,AAA,AA,3,PINNED_AT_SCALE_TOP,no
COST,AAA,A+,5,PINNED_AT_SCALE_TOP,no
DIS,AAA-,A-,6,PINNED_AT_FLOOR,no
M,BBB,BB-,4,SCALE_RESOLVED,no
W,BBB-,B+,4,SCALE_RESOLVED,no
T,A+,BBB,4,SCALE_RESOLVED,yes
VZ,AA-,BBB+,4,SCALE_RESOLVED,no
TMUS,AA,BBB,6,SCALE_RESOLVED,no
WBD,A,BB+,5,SCALE_RESOLVED,yes
CAT,AA+,A,4,SCALE_RESOLVED,no
DE,AA+,A,4,SCALE_RESOLVED,no
GE,AAA,A-,7,PINNED_AT_SCALE_TOP,no
LMT,AAA-,A-,6,PINNED_AT_FLOOR,no
RTX,AAA-,BBB+,7,SCALE_RESOLVED,no
FDX,AA,BBB,6,SCALE_RESOLVED,no
MMM,AAA,BBB+,8,PINNED_AT_SCALE_TOP,no
PBI,BBB+,B+,6,SCALE_RESOLVED,no
TSLA,AAA-,BBB,8,PINNED_AT_FLOOR,yes
GM,BBB-,BBB,-1,SCALE_RESOLVED,no
RIVN,BB,B-,4,SCALE_RESOLVED,no
DAL,A,BBB-,4,SCALE_RESOLVED,no
UAL,BBB,BB,3,SCALE_RESOLVED,no
CCL,BBB,BBB-,1,SCALE_RESOLVED,yes
RCL,A,BB+,5,SCALE_RESOLVED,no
NCLH,BB-,B+,1,SCALE_RESOLVED,no
COIN,BBB-,BB-,3,SCALE_RESOLVED,no
MSTR,BB+,B-,5,SCALE_RESOLVED,no
SOLV,AAA,BBB,9,PINNED_AT_SCALE_TOP,no
AZN,AAA-,A,5,PINNED_AT_FLOOR,no
SHEL,AAA-,A+,4,PINNED_AT_FLOOR,no
