symbol,point_rank,rank,fraction
COST,1,1,1.0
COST,1,2,0.0
COST,1,3,0.0
COST,1,4,0.0
COST,1,5,0.0
COST,1,6,0.0
COST,1,7,0.0
COST,1,8,0.0
COST,1,9,0.0
COST,1,10,0.0
KO,2,1,0.0
KO,2,2,0.998
KO,2,3,0.002
KO,2,4,0.0
KO,2,5,0.0
KO,2,6,0.0
KO,2,7,0.0
KO,2,8,0.0
KO,2,9,0.0
KO,2,10,0.0
DELL,9,1,0.0
DELL,9,2,0.0
DELL,9,3,0.0
DELL,9,4,0.0
DELL,9,5,0.0
DELL,9,6,0.0015
DELL,9,7,0.0185
DELL,9,8,0.119
DELL,9,9,0.858
DELL,9,10,0.003
ORCL,10,1,0.0
ORCL,10,2,0.0
ORCL,10,3,0.0
ORCL,10,4,0.0
ORCL,10,5,0.0
ORCL,10,6,0.0
ORCL,10,7,0.0
ORCL,10,8,0.0
ORCL,10,9,0.003
ORCL,10,10,0.997
PNC,5,1,0.0
PNC,5,2,0.0
PNC,5,3,0.0
PNC,5,4,0.0065
PNC,5,5,0.9085
PNC,5,6,0.0805
PNC,5,7,0.004
PNC,5,8,0.0005
PNC,5,9,0.0
PNC,5,10,0.0
WMT,3,1,0.0
WMT,3,2,0.002
WMT,3,3,0.9665
WMT,3,4,0.0315
WMT,3,5,0.0
WMT,3,6,0.0
WMT,3,7,0.0
WMT,3,8,0.0
WMT,3,9,0.0
WMT,3,10,0.0
INTU,7,1,0.0
INTU,7,2,0.0
INTU,7,3,0.0
INTU,7,4,0.0
INTU,7,5,0.0685
INTU,7,6,0.4025
INTU,7,7,0.3505
INTU,7,8,0.163
INTU,7,9,0.0155
INTU,7,10,0.0
AMZN,4,1,0.0
AMZN,4,2,0.0
AMZN,4,3,0.0315
AMZN,4,4,0.962
AMZN,4,5,0.0065
AMZN,4,6,0.0
AMZN,4,7,0.0
AMZN,4,8,0.0
AMZN,4,9,0.0
AMZN,4,10,0.0
T,8,1,0.0
T,8,2,0.0
T,8,3,0.0
T,8,4,0.0
T,8,5,0.002
T,8,6,0.076
T,8,7,0.18
T,8,8,0.623
T,8,9,0.119
T,8,10,0.0
KHC,6,1,0.0
KHC,6,2,0.0
KHC,6,3,0.0
KHC,6,4,0.0
KHC,6,5,0.0145
KHC,6,6,0.4395
KHC,6,7,0.447
KHC,6,8,0.0945
KHC,6,9,0.0045
KHC,6,10,0.0
