Symbol,TiC Risk Score,SP Rating,Rating Determination,Rating Interval Low,Rating Interval High,Rating Interval Notches
COST,0.1775329551173454,AAA,PINNED_AT_SCALE_TOP,AAA,AAA-,2
KO,0.3686492179529905,AAA,PINNED_AT_SCALE_TOP,AAA,AAA-,2
DELL,4.441371272976043,A-,SCALE_RESOLVED,AAA,BBB,10
ORCL,12.43675385806802,BB,SCALE_RESOLVED,BBB-,BB-,4
PNC,1.455779670054851,,MODEL_NOT_APPLICABLE,AAA,AA+,3
WMT,0.6139502277521641,AAA,PINNED_AT_SCALE_TOP,AAA,AAA-,2
INTU,2.222031093925881,,NOT_RATED,AAA,AA-,5
AMZN,0.9013259221718856,AAA-,PINNED_AT_FLOOR,AAA,AAA-,2
T,3.090238019252541,A+,SCALE_RESOLVED,AAA-,A,6
KHC,2.185665158331277,,NOT_RATED,AAA,AA,4
