Company,Symbol,Shares Outstanding,Last Date,Last Price,Last Statement Date,Debt/Short Term,Debt/Long Term,Total Debt,Interest Rate,sigma,A,R,eta,CCM,mu,TiC Risk Score,DD,EDF,PIT PD,TTC PD,SP Rating,Outlook,lambda,Rating Basis
Costco Wholesale Corporation,COST,443478803.1864827,2026-07-24,935.030029296875,2026-05-31,0,8136000000,8136000000,0.0415,0.1952465355203471,418568631432.1691,0.1583465100748084,0.1774071148911575,0.05195546765001584,29.26297137823107,0.1775467944744185,24.5435130998128,2.536437077231917e-133,2.743162756103527e-116,0.0001000000000000001,AAA,-0.0001000000000000001,0.9268382896713228,ANALYTICAL
The Coca-Cola Company,KO,4302482621.860183,2026-07-24,82.25,2026-03-31,4825000000,39065000000,43890000000,0.0415,0.1667146904960812,377246547083.58,0.107117800052756,0.1210146940663581,0.09469480643772844,25.57986752042385,0.3701927164482803,17.07814066060623,1.079447423476833e-65,3.341416476317598e-56,0.0001000000000000001,AAA,-0.0001000000000000001,0.8730928134633812,ANALYTICAL
Dell Technologies Inc.,DELL,646142417.7737143,2026-07-24,437.5,2026-04-30,7550000000,23611000000,31161000000,0.0415,0.5778918996186801,301255988143.6353,0.6611116866097337,0.8280912104321771,0.1840257525751226,4.152072639231595,4.4321419340385,5.894000996217046,1.884774469959813e-09,0.0002543817124231565,0.001572932661586206,A-,-0.00131855094916305,0.7761725462766189,GRID_INTERIOR
Oracle Corporation,ORCL,2880471107.760242,2026-07-24,114.9899978637695,2026-05-31,7199000000,148990000000,156189000000,0.0415,0.5662015259056782,409548990395.0433,0.0717002910555849,0.2319923750245441,2.773547753084922,22.48353454793352,12.33590629254438,2.97381088722324,0.001470631433818884,0.006283371875907631,0.0145196787264329,BB,-0.008236306850525269,0.1364191140208863,GRID_INTERIOR
"The PNC Financial Services Group, Inc.",PNC,399000002.1683236,2026-07-24,250.9900054931641,2026-03-31,0,66666000000,66666000000,0.0415,0.1741760885284867,132123004130.9373,0.1394763087579507,0.1546449636654923,0.1579371142935621,9.87397396127672,1.599529378069584,8.70763468431487,1.551407164537058e-18,1.087060460847731e-12,0.0002562111889161968,AA+,-0.0002562111878291364,0.8025508124037647,GRID_INTERIOR
Walmart Inc.,WMT,8036631805.397353,2026-07-23,108.4000015258789,2026-04-30,17082000000,57097000000,74179000000,0.0415,0.2349517476269249,914946489814.2991,0.2750342510889225,0.3026354129453956,0.06694174871038544,10.90151214997668,0.6140592955311123,13.9318967152021,2.027217709133598e-44,4.211961294765479e-31,0.0001000000000000001,AAA,-0.0001000000000000001,0.9073794438059343,ANALYTICAL
Intuit Inc.,INTU,273536982.5565482,2026-07-24,296.3299865722656,2026-04-30,833000000,6067000000,6900000000,0.0415,0.4606084337755333,84766534573.09164,-0.1058476172529637,0.0002324473796112003,,,2.22554027249132,6.473401884282685,4.791032203364203e-11,,,,,,NOT_APPLICABLE
"Amazon.com, Inc.",AMZN,10757109674.80238,2026-07-24,232.1100006103516,2026-03-31,0,209888000000,209888000000,0.0415,0.3056951382222128,2597510689832.075,0.2901924374527519,0.3369171962191008,0.1003545876905132,11.05777253194964,0.907547947839901,11.44628737521431,1.227168343710172e-30,1.217710577565639e-21,0.0002001665018339596,AAA-,-0.0002001665018339596,0.8663652258594747,GRID_INTERIOR
AT&T Inc.,T,6852385869.488234,2026-07-24,24.1299991607666,2026-06-30,9323000000,153565000000,162888000000,0.0415,0.16469123192997,247953319474.2031,0.1004513579593203,0.1140129588966259,0.2552913517766464,10.52914797175653,2.424615481342288,7.032059668904182,1.017533657195122e-12,5.652898519330778e-09,0.0004255037308484826,AA,-0.0004254980779499632,0.7110222557170215,GRID_INTERIOR
The Kraft Heinz Company,KHC,1185777635.743371,2026-07-24,25.67000007629395,2026-03-31,1910000000,19223000000,21133000000,0.0415,0.1895374812339113,41492055367.13594,-0.05786952132404985,-0.03990729292780221,,,2.188251783778193,6.454752841287265,5.419783116872726e-11,,,,,,NOT_APPLICABLE
