Company,Symbol,Shares Outstanding,Last Date,Last Price,Last Statement Date,Debt/Short Term,Debt/Long Term,Total Debt,Interest Rate,sigma,A,R,eta,CCM,mu,TiC Risk Score,DD,EDF,PIT PD,TTC PD,SP Rating,Outlook,lambda,Rating Basis
Costco Wholesale Corporation,COST,443478803.1864827,2026-07-24,935.030029296875,2026-05-31,0,8136000000,8136000000,0.0415,0.1952389258668253,418568631432.1691,0.1242634991588683,0.1433226182456841,0.06620066040750061,37.28922349303734,0.1775329551173454,24.36989893381312,1.783711183416839e-131,4.838005624288437e-118,0.0001000000000000001,AAA,-0.0001000000000000001,0.9083256518986235,ANALYTICAL
The Coca-Cola Company,KO,4302482621.860183,2026-07-24,82.25,2026-03-31,4825000000,39065000000,43890000000,0.0415,0.1663667735225636,377246547083.58,0.1180276440827857,0.1318665957489397,0.08558339572919028,23.21540140635907,0.3686492179529905,17.17943263547097,1.892979047587956e-66,5.574322002542451e-56,0.0001000000000000001,AAA,-0.0001000000000000001,0.8841077791983318,ANALYTICAL
Dell Technologies Inc.,DELL,646142417.7737143,2026-07-24,437.5,2026-04-30,7550000000,23611000000,31161000000,0.0415,0.5784932776438375,301255987987.899,0.7028261558361729,0.8701533919757279,0.1734638338127969,3.905636866439303,4.441371272976043,5.959982654959158,1.261323539302953e-09,0.000335952639036816,0.001650828705415052,A-,-0.001314876066378236,0.7866751583822876,GRID_INTERIOR
Oracle Corporation,ORCL,2880471107.760242,2026-07-24,114.9899978637695,2026-05-31,7199000000,148990000000,156189000000,0.0415,0.5685092460980326,409546722531.5637,0.03086394834060488,0.1924653297900815,6.495903558045225,52.23150375233306,12.43675385806802,2.889899140921656,0.00192682722385034,0.005328449804653005,0.0154586735522036,BB,-0.01013022374755059,0.04872636504960919,GRID_INTERIOR
"The PNC Financial Services Group, Inc.",PNC,399000002.1683236,2026-07-24,250.9900054931641,2026-03-31,0,66666000000,66666000000,0.0415,0.1661652663126421,132123004130.9373,0.1961201671355957,0.2099256149999714,0.1022270476324082,7.022151066895752,1.455779670054851,9.468318156614018,1.421927500787708e-21,1.03585744762252e-12,0.0002254476184287671,AAA-,-0.0002254476173929096,0.86415849582076,GRID_INTERIOR
Walmart Inc.,WMT,7958078836.699993,2026-07-24,109.4700012207031,2026-04-30,17082000000,57097000000,74179000000,0.0415,0.234930880909774,914946489814.2991,0.2842527049360934,0.3118489643386146,0.0647592907156776,10.54797079443698,0.6139502277521641,13.97237315984181,1.149192385679412e-44,6.55708950848857e-31,0.0001000000000000001,AAA,-0.0001000000000000001,0.9101706830552505,ANALYTICAL
Intuit Inc.,INTU,273536982.5565482,2026-07-24,296.3299865722656,2026-04-30,833000000,6067000000,6900000000,0.0415,0.4602451523458474,84766534573.09186,-0.1004528330625978,0.005459967066328383,,,2.222031093925881,6.490233024909237,4.285185547466783e-11,,,,,,NOT_APPLICABLE
"Amazon.com, Inc.",AMZN,10757109674.80238,2026-07-24,232.1100006103516,2026-03-31,0,209888000000,209888000000,0.0415,0.304645433762156,2597510689832.075,0.2574051828185264,0.3038096029745925,0.1123617039693405,12.46626788438387,0.9013259221718855,11.3781030749645,2.687813911368943e-30,3.136028521326964e-22,0.000201869681725753,AAA-,-0.000201869681725753,0.8523754975339998,GRID_INTERIOR
AT&T Inc.,T,6852385869.488234,2026-07-24,24.1299991607666,2026-03-31,6818000000,150496000000,162888000000,0.0415,0.1916055934044088,244078027826.6437,0.09522936398016026,0.1135857156920881,0.3536985381704795,11.44567298592848,3.090238019252541,6.185589375011221,3.093543429058343e-10,1.926076723717623e-07,0.0006428885163681656,A+,-0.0006426959086957938,0.634917152885481,GRID_INTERIOR
The Kraft Heinz Company,KHC,1185777635.743371,2026-07-24,25.67000007629395,2026-03-31,1910000000,19223000000,21133000000,0.0415,0.1894254266156416,41492055367.13597,-0.05160007655861942,-0.03365908043436051,,,2.185665158331277,6.491668316448242,4.244549777701924e-11,,,,,,NOT_APPLICABLE
