sector,count,median,min,max
Technology,17,0.5554969532541405,0.2429731100097261,0.9641121998747096
Consumer Cyclical,24,0.2939786307105048,0.13783877232225983,0.5872800106409323
Communication Services,11,0.2842394495207514,0.15820532045763183,0.6802427854189761
Energy,10,0.273121478591431,0.16069090850204848,0.5437214917992675
Industrials,13,0.26075051244473674,0.19133224767569307,0.39398519273677235
Consumer Defensive,11,0.2541154430287529,0.16636677352256363,1.4710318529142283
Healthcare,16,0.25105562709983403,0.09839864276438051,0.6583951953971959
Financial Services,24,0.21798775589486152,0.13713747716273197,0.6364619490336358
Real Estate,6,0.19831847585605997,0.13096405242429804,0.26892216328464164
Utilities,7,0.14144195054078257,0.10384348226916665,0.4155317769762757
