symbol,category,detail,sector,firm_type,sigma_A,drift_regime,determination,model_letter,agency_approx,financial_currency,price_currency
AAPL,RATED,AAA,Technology,NONFINANCIAL,0.2429731100097261,VALID,PINNED_AT_SCALE_TOP,AAA,AA+,USD,USD
MSFT,RATED,AAA-,Technology,NONFINANCIAL,0.2745198690315647,VALID,PINNED_AT_FLOOR,AAA-,AAA,USD,USD
JNJ,RATED,AAA,Healthcare,NONFINANCIAL,0.22718411998967997,VALID,PINNED_AT_SCALE_TOP,AAA,AAA,USD,USD
GOOGL,RATED,AAA-,Communication Services,NONFINANCIAL,0.30784428251135554,VALID,PINNED_AT_FLOOR,AAA-,AA+,USD,USD
AMZN,RATED,AAA-,Consumer Cyclical,NONFINANCIAL,0.30464543376215597,VALID,PINNED_AT_FLOOR,AAA-,AA,USD,USD
META,RATED,AAA-,Communication Services,NONFINANCIAL,0.3795985039650026,VALID,SCALE_RESOLVED,AAA-,AA-,USD,USD
NVDA,RATED,AAA,Technology,NONFINANCIAL,0.35609462693290966,VALID,PINNED_AT_SCALE_TOP,AAA,AA-,USD,USD
CRM,DEFECTIVE_DRIFT,drift t=-0.12,Technology,NONFINANCIAL,0.3823972941356002,DEFECTIVE,NOT_RATED,,A+,USD,USD
AVGO,RATED,AAA,Technology,NONFINANCIAL,0.4626465681034326,VALID,PINNED_AT_SCALE_TOP,AAA,BBB+,USD,USD
AMD,RATED,AAA-,Technology,NONFINANCIAL,0.6769924575171891,VALID,PINNED_AT_FLOOR,AAA-,A-,USD,USD
MU,RATED,AA+,Technology,NONFINANCIAL,0.7533854168290385,VALID,SCALE_RESOLVED,AA+,BBB-,USD,USD
INTC,RATED,BBB+,Technology,NONFINANCIAL,0.6969173973896718,VALID,SCALE_RESOLVED,BBB+,BBB,USD,USD
IBM,RATED,BBB,Technology,NONFINANCIAL,0.44839825451910487,VALID,SCALE_RESOLVED,BBB,A-,USD,USD
ORCL,RATED,BB,Technology,NONFINANCIAL,0.5685092460980326,VALID,SCALE_RESOLVED,BB,BBB,USD,USD
INTU,DEFECTIVE_DRIFT,drift t=-0.39,Technology,NONFINANCIAL,0.4602451523458474,DEFECTIVE,NOT_RATED,,A-,USD,USD
DELL,RATED,A-,Technology,NONFINANCIAL,0.5784932776438375,VALID,SCALE_RESOLVED,A-,BBB,USD,USD
MCD,RATED,AAA,Consumer Cyclical,NONFINANCIAL,0.15961115077560753,VALID,PINNED_AT_SCALE_TOP,AAA,BBB+,USD,USD
SBUX,RATED,AAA-,Consumer Cyclical,NONFINANCIAL,0.24785724561940675,VALID,PINNED_AT_FLOOR,AAA-,BBB,USD,USD
HD,RATED,AAA-,Consumer Cyclical,NONFINANCIAL,0.2264375111455988,VALID,PINNED_AT_FLOOR,AAA-,A,USD,USD
LOW,RATED,AAA-,Consumer Cyclical,NONFINANCIAL,0.2315330914559303,VALID,PINNED_AT_FLOOR,AAA-,BBB+,USD,USD
BA,DEFECTIVE_DRIFT,drift t=-0.09,Industrials,NONFINANCIAL,0.27921869096828683,DEFECTIVE,NOT_RATED,,BBB-,USD,USD
PM,RATED,AA+,Consumer Defensive,NONFINANCIAL,0.2894715478557055,VALID,SCALE_RESOLVED,AA+,A-,USD,USD
YUM,RATED,AAA-,Consumer Cyclical,NONFINANCIAL,0.19774468962752026,VALID,PINNED_AT_FLOOR,AAA-,BB+,USD,USD
AZO,RATED,AAA-,Consumer Cyclical,NONFINANCIAL,0.2590058434786268,VALID,PINNED_AT_FLOOR,AAA-,BBB,USD,USD
DPZ,RATED,AAA-,Consumer Cyclical,NONFINANCIAL,0.24165441274364777,VALID,PINNED_AT_FLOOR,AAA-,,USD,USD
JPM,MODEL_NOT_APPLICABLE,BANK_DEPOSIT_FUNDED,Financial Services,BANK,0.16572633045066837,VALID,MODEL_NOT_APPLICABLE,,A-,USD,USD
BAC,MODEL_NOT_APPLICABLE,BANK_DEPOSIT_FUNDED,Financial Services,BANK,0.14799135318906226,VALID,MODEL_NOT_APPLICABLE,,A-,USD,USD
WFC,MODEL_NOT_APPLICABLE,BANK_DEPOSIT_FUNDED,Financial Services,BANK,0.21489071062801457,VALID,MODEL_NOT_APPLICABLE,,BBB+,USD,USD
C,MODEL_NOT_APPLICABLE,BANK_DEPOSIT_FUNDED,Financial Services,BANK,0.1491103056221356,VALID,MODEL_NOT_APPLICABLE,,BBB+,USD,USD
GS,MODEL_NOT_APPLICABLE,BANK_DEPOSIT_FUNDED,Financial Services,BANK,0.17017968862527813,VALID,MODEL_NOT_APPLICABLE,,BBB+,USD,USD
MS,MODEL_NOT_APPLICABLE,BANK_DEPOSIT_FUNDED,Financial Services,BANK,0.1681990036025623,VALID,MODEL_NOT_APPLICABLE,,A-,USD,USD
PNC,MODEL_NOT_APPLICABLE,BANK_DEPOSIT_FUNDED,Financial Services,BANK,0.16616526631264208,VALID,MODEL_NOT_APPLICABLE,,A,USD,USD
SCHW,MODEL_NOT_APPLICABLE,BANK_DEPOSIT_FUNDED,Financial Services,BANK,0.23350283485662593,VALID,MODEL_NOT_APPLICABLE,,A,USD,USD
COF,MODEL_NOT_APPLICABLE,BANK_DEPOSIT_FUNDED,Financial Services,BANK,0.274026657471587,VALID,MODEL_NOT_APPLICABLE,,BBB,USD,USD
ALLY,MODEL_NOT_APPLICABLE,BANK_DEPOSIT_FUNDED,Financial Services,BANK,0.16601760469886961,VALID,MODEL_NOT_APPLICABLE,,BBB-,USD,USD
KEY,MODEL_NOT_APPLICABLE,BANK_DEPOSIT_FUNDED,Financial Services,BANK,0.25767489837177265,VALID,MODEL_NOT_APPLICABLE,,BBB,USD,USD
AXP,MODEL_NOT_APPLICABLE,BANK_DEPOSIT_FUNDED,Financial Services,BANK,0.23791714160473845,VALID,MODEL_NOT_APPLICABLE,,BBB+,USD,USD
V,RATED,AAA,Financial Services,NONFINANCIAL,0.21358173627366617,VALID,PINNED_AT_SCALE_TOP,AAA,AA-,USD,USD
MA,RATED,AAA,Financial Services,NONFINANCIAL,0.21540856457971305,VALID,PINNED_AT_SCALE_TOP,AAA,A+,USD,USD
